date,price,volume
2024-10-21 06:16:59.378,68920.35815282188,25463169135.400177
2024-10-21 07:04:33.245,68633.65815642751,26202357192.268288
2024-10-21 08:14:28.196,68587.69386367493,25456032908.48683
2024-10-21 09:12:15.795,68369.74674265663,26876144569.075462
2024-10-21 10:10:40.543,68333.41666157664,27553264276.434273
2024-10-21 11:08:10.469,68206.03304276754,29402380882.04583
2024-10-21 12:19:59.139,68235.5145983704,29971998638.147438
2024-10-21 13:15:45.943,68021.73347760204,29961718237.113297
2024-10-21 14:03:32.405,67337.97630108232,34754775641.37879
2024-10-21 15:06:09.077,66975.78431429762,37295122115.42381
2024-10-21 16:18:30.149,67174.30503999282,39236334956.89885
2024-10-21 17:12:43.572,67568.03190435549,41725436699.25929
2024-10-21 18:17:44.812,67248.80305011991,42658836252.03704
2024-10-21 19:01:39.042,67325.92623061893,43660120981.195595
2024-10-21 20:17:34.275,67606.91706949721,44521535914.090065
2024-10-21 21:06:50.103,67753.16154794223,45199287032.97026
2024-10-21 22:18:45.877,67820.6793994581,40403756630.402176
2024-10-21 23:14:19.126,67537.44761880304,38839718747.393036
2024-10-22 00:08:02.226,67339.1104733254,40208990992.10199
2024-10-22 01:13:14.895,67239.8550860165,41792479296.12264
2024-10-22 02:17:03.525,67580.24290385628,39960357103.54653
2024-10-22 03:03:21.210,67278.41494349607,37401527959.02914
2024-10-22 04:09:58.736,67320.72394441451,40852904418.7442
2024-10-22 05:14:25.059,67568.20534778519,40930325189.114586
2024-10-22 06:03:43.778,67537.02571810021,40336873737.29317
2024-10-22 07:03:38.841,67577.7668773518,41110220926.78215
2024-10-22 08:06:57.007,67234.26289873883,40693465481.65904
2024-10-22 09:11:40.088,66910.2006392896,39765113902.40001
2024-10-22 10:07:27.580,66902.83996291434,41279762433.20276
2024-10-22 11:01:17.948,67106.40216274856,42164244962.3411
2024-10-22 12:09:40.044,67345.44354606132,43314356095.198715
2024-10-22 13:08:37.446,66948.48231281895,41926259582.33516
2024-10-22 14:10:50.830,66852.38488317322,37420547984.14651
2024-10-22 15:11:05.141,67538.05579463561,38996289467.6303
2024-10-22 16:11:01.268,67069.73151245776,33943657645.871937
2024-10-22 17:11:54.159,67154.43722512922,38052548002.29742
2024-10-22 18:09:26.712,67436.2017958462,37063621355.225105
2024-10-22 19:06:24.284,67350.6815939495,35972207961.518845
2024-10-22 20:19:28.493,67461.73394744756,34726215994.03971
2024-10-22 21:02:39.855,67490.66750716939,31580065100.336395
2024-10-22 22:02:38.923,67470.38340494373,29298668740.307518
2024-10-22 23:08:12.478,67671.73452175625,35443408026.42981
2024-10-23 00:15:34.340,67314.7451642939,34773860256.29472
2024-10-23 01:18:22.665,67140.00000698502,32624691480.460724
2024-10-23 02:01:11.516,67291.19684499837,26929780350.441277
2024-10-23 03:19:10.322,67048.51010304615,32249377883.146904
2024-10-23 04:08:14.871,67100.35125363844,30633368122.12323
2024-10-23 05:16:00.341,67132.94101686569,32157228098.43775
2024-10-23 06:09:02.092,67046.74666265059,28620733802.688156
2024-10-23 07:07:39.799,66894.49922974805,26429939068.27492
2024-10-23 08:10:53.256,66988.77646614099,32116374488.17767
2024-10-23 09:18:29.351,66189.4239095066,30207353523.204742
2024-10-23 10:01:47.705,66460.79552573431,29281339344.454662
2024-10-23 11:07:58.861,66404.5869531651,30235666753.191235
2024-10-23 12:03:27.410,66371.49937035276,26542519601.56909
2024-10-23 13:04:56.055,66369.29625662921,29703031162.33483
2024-10-23 14:09:51.990,66651.90713957847,26486131155.510517
2024-10-23 15:04:57.746,66423.94655262576,23262422579.629433
2024-10-23 16:09:50.868,66089.26267890583,29857433905.0353
2024-10-23 17:08:29.922,65730.51055081871,29269188946.47351
2024-10-23 18:11:10.362,65441.76998856602,32474745834.508427
2024-10-23 19:10:36.108,66027.65745745016,29352287329.762024
2024-10-23 20:17:15.837,66273.84074380784,33198609658.135124
